input_text,priority_binned,bug_resolution_time
Projection Column Mapping Issue,Low,Short-Term
Unable to write custom implementation of CRUD method when custom class uses CGLib proxies,Low,Long-Term
ResultProcessor should create approximate collection instead of exact one,Low,Short-Term
Query methods returning Maps shouldn't return null if no result is present,Low,Short-Term
Generated PropertyAccessor fails lookup of setter accepting a primitive type,Medium,Short-Term
"Exclude decoratedClass from JSON links, created from Projection and received with Spring @RestController",Low,Short-Term
NullHandling not working,Low,Long-Term
Potential deadlock in AbstractMappingContext when creating bean while application event is being fired,Low,Long-Term
ClassTypeInformation computes incorrect TypeVariable mappings for recursive generics,Medium,Short-Term
TransactionalRepositoryFactoryBeanSupport.setBeanFactory doesn't delegate to super-implementation,Medium,Long-Term
Crash when defining a paged repository method,Low,Long-Term
Jsr310Converters.LocalDateToDateConverter : conversion problem,Low,Long-Term
NullPointerException when unwrapping empty Scala Options,Low,Long-Term
Underscore is not permitted in property for method Sort.Order,Medium,Short-Term
Regression: TypeDiscoverer fails to resolve properties expressed through read methods in supertypes,Medium,Long-Term
PageRequest parameter not recognized as Pageable in Paging query ,Low,Short-Term
Query method Parameter should return element type for wrapper ones (e.g. Optional),Medium,Short-Term
ReturnedInterface should not consider super interfaces of domain type projecting,Low,Short-Term
ResultProcessor should use ConversionService as fallback if target is a class,Low,Short-Term
ResultProcessor doesn't handle Stream instances correctly,Low,Short-Term
Missing equals(…) and hashCode() in SyntheticParamterizedType are causing a memory leak,Medium,Short-Term
Custom implementation of repository fails when overriding methods containing generics,Low,Long-Term
"Delegation between similar repositories causes random behaviour and ""java.lang.IllegalArgumentException: object is not an instance of declaring class""",Medium,Short-Term
ReturnedClass fails on types with ambiguous constructors,Medium,Short-Term
Jsr310Converters does not support ZonedDateTime,Low,Short-Term
AbstractMappingContext.getPersistentEntity sometimes returns an empty entity when called by multiple threads,Medium,Long-Term
Projecting a Map with a null value causes an exception,Medium,Short-Term
Potential NullPointerException in ResultProcessor,Low,Short-Term
PagedResourceAssembler doesn't include pagination template variables in self link,Low,Short-Term
Bad parsing source with underscore to PropertyPath.from(...),Medium,Short-Term
Confusing message generated by  PageImpl.toString(),Low,Long-Term
IndexOutOfBoundException in ParametersParameterAccessor iterator when non-bindable parameter(s) used,Low,Short-Term
ChainedTransactionManager does not work with latest spring,Medium,Long-Term
Pageable's size should not be dependent on 1-based or 0-based paging.,Low,Short-Term
Typo in example of declaring Jackson repository populator of reference documentation,Low,Short-Term
Fix JavaDoc of constructor of QuerydslPredicateBuilder,Low,Short-Term
ProxyingHandlerMethodArgumentResolver handles interfaces not intended for projection,Low,Long-Term
PageImpl may be called with total argument lesser than content size,Low,Long-Term
Custom repository implementation class not working as stated in the reference documentation,Medium,Short-Term
PageableHandlerMethodArgumentResolver reduces page size by one if on-indexed parameters are used,Medium,Short-Term
Remove cyclic dependency in querydsl packages,Medium,Short-Term
Paths without parent are causing IllegalArgumentException in QSort class,Medium,Short-Term
PersonRepository in reference documentation persists User,Low,Short-Term
SortHandlerMethodArgumentResolver fails to fall back to default if empty parameter is given,Low,Long-Term
Part.extractProperty(String part) invalidly extracts property paths containing keywords,Low,Short-Term
Spring version check in QueryExecutionConverters might fail,Medium,Short-Term
Invalid error message in PointFormatter,Low,Short-Term
"@JsonView and Chunk, PageImpl and Sort on Spring Data Commons",Medium,Short-Term
PreferredConstructorDiscoverer prevents custom classloader from being garbage collected,Medium,Short-Term
ProxyProjectionFactory does not handle arrays correctly,Low,Short-Term
Explicit transaction configuration is not considered if default transactions are disabled,Medium,Short-Term
Version fails to parse input string with non-numerical suffix,Low,Short-Term
AnnotatedTypeScanner does not use context classloader for loading found types,Medium,Short-Term
QueryMethod type not detected correctly when wrapper types are used with collections,Low,Short-Term
Port to querydsl 4.0.0,Low,Short-Term
QueryDslPredicateExecutor findAll should return List,Low,Long-Term
Field-local generics information not honored,Medium,Short-Term
Potential NullPointerException in AbstractMappingContext,Medium,Short-Term
IllegalArgumentExceptions in PageableHandlerMethodArgumentResolver with one-based index parameters,Low,Short-Term
Multi-store silently ignores repository creation failures,Low,Long-Term
Non-passive changes in QueryDslPredicateExecutor,Medium,Long-Term
ConversionMatchAbbreviationException being thrown from ToEntityConverter.matches(…),Medium,Long-Term
Enabling Spring Data web support breaks @ModelAttribute binding in Spring MVC,Medium,Short-Term
Entity is converted to its ID unexpectedly in a Spring EL expression,Medium,Long-Term
Typo in method in BytecodeGeneratingEntityInstantiator,Low,Short-Term
Incorrect reference docs on extending all repositories causes failures in lookup of default transaction metadata,Low,Short-Term
o.s.d.r.q.Parameters prevents custom classloader from being garbage collected,Medium,Long-Term
setOneIndexedParameters and setFallbackPageable don't work together,Low,Long-Term
Possible NullPointerException on PageableHandlerMethodArgumentResolver when fallbackPageable is null,Medium,Short-Term
Jsr310 support should include TimeZoned types,Medium,Long-Term
Reference documentation section on limiting query results is showing incorrect order-by-clause,Low,Short-Term
QSort does not treat nested paths correctly,Medium,Long-Term
Repository custom implementation + repository configuration CDI beans are not resolved in Weblogic 12c,Low,Long-Term
AnnotationRevisionMetadata can't access private fields,Medium,Short-Term
Multiple usage of repository setup means (XML or annotation) creates multiple bean definitions for RepositoryInterfaceAwareBeanPostProcessor,Medium,Short-Term
BasicPersistentEntity.getPropertyAccessor for target bean does not properly handle inheritance when PersistentEntity instances are interface or abstract class based,Medium,Short-Term
QSort.iterator() doesn't return correct Order's,Low,Short-Term
"Documentation errors with ""â€¦"" appearing in the text",Low,Long-Term
When true setOneIndexedParameters still behaves as false in the links of the json response,Low,Long-Term
MappingContext fails to resolve TreeMap as Map value type,Medium,Short-Term
"Spring Data Commons 1.8.2 leads to ""NoSuchMethodError"" in spring-beans 4.0.6-RELEASE",Medium,Short-Term
PageableHandlerMethodArgumentResolver throws NullPointerException,Low,Long-Term
SpelEvaluationException: EL1007E when using advanced SpEL Expressions with Spring Data's sort and pageable object,Medium,Short-Term
IllegalAccessException after update spring-data-common version from 1.7.1 to 1.8.0,Low,Long-Term
PagedResourcesAssembler should keep tempalte variables provided in base link,Low,Short-Term
Spring Data Infinite Loop in HashMap in PreferredConstructor and CustomConversions,Low,Long-Term
DataBinding fails when nested entity implements Serializable,Low,Long-Term
Typo in Example 1.26. Declaring a Jackson repository populator,Low,Short-Term
NPE in org.springframework.data.mapping.model.AbstractPersistentProperty,Low,Long-Term
MappingException due to hardcoded implementation of ParameterNameDiscoverer in PreferredConstructorDiscoverer,Medium,Long-Term
AnnotationRepositoryConfigurationSource fails when the annotated class is in the default package.,Low,Short-Term
ID type not detected for intermediate repository interface,Medium,Short-Term
Version.parse should not throw NumberFormatExecption when parsing version string containing non numeric parts.,Low,Short-Term
Regression in PersistentEntity detection for concrete Map types,Medium,Short-Term
PageableHandlerMethodArgumentResolver.setFallbackPageable(null) does not work as specified,Low,Short-Term
Allow empty pages by definiing a page size = 0,Medium,Long-Term
AbstractPersistentProperties prevents collection and map properties from being fully initialized upfront,Medium,Short-Term
Repositories do not support array return type.,Low,Short-Term
NPE in AbstractRepositoryMetadata. isPagingRepository if Repository has no findAll method defined,Low,Short-Term
NullPointerException at listing non-CRUD repositories in RepositoryMetadata.isPageableRepository(),Medium,Short-Term
ID type not detected for intermediate repository interface,Medium,Short-Term
Analyzing @Query annotated bridge methods lead to NPEs during QueryMethod processing in Java 8,Low,Short-Term
"Order.ignoreCase not taken into account in equals(), hashCode() and toString()",Low,Short-Term
PageRequest constructor documentation parameter order incorrect.,Low,Short-Term
Test new issue state,Low,Short-Term
Some test ticket,Low,Short-Term
Injection of PagedResourcesAssembler fails on Spring 4.0.1 snapshots,Low,Long-Term
PagedResourcesAssemblerArgumentResolver fails for methods with templated mappings,Low,Short-Term
Performance improvements in configuration subsystem,Low,Short-Term
Guard against invalid values when resolving pagination and sorting parameters from web requests,Medium,Short-Term
NullPointerException in DefaultCrudMethods,Medium,Long-Term
Potential NullPointerExceptions in PartTree area,Medium,Short-Term
DefaultRepositoryInformation#getTargetClassMethod matches wrong save-Method if Entity implements Iterable,Medium,Short-Term
SortHanderMethodArgumentResolver fails to resolve comma-only sort parameter,Medium,Long-Term
All elements are returned if pageSize = 0,Medium,Long-Term
Repositories cannot deal with CGLib proxied classes,Medium,Short-Term
ChainedTransactionManager should only control transaction synchronization if all delegate transaction managers are set to NOT control synchronization,Medium,Long-Term
PageableArgumentResolver does not support list of properties to sort on,Medium,Long-Term
Unicode characters not supported in property reference expressions,Low,Long-Term
Potential concurrency issues in Repositories,Medium,Short-Term
Unable to use @Profile annotation on scanned repository interfaces,Medium,Short-Term
Incorrect deprecation message in PageableArgumentResolver,Low,Short-Term
Mandatory transitive dependency to Spring HATEOS errantly added in 1.6,Medium,Long-Term
"Missing ""default/current"" XSD Files",Low,Long-Term
 AbstractMappingContext doesn't consider the actual type of property of a generic collection type. ,Medium,Short-Term
PageableHandlerMethodArgumentResolver should replace pagination parameters not add them,Medium,Long-Term
RepositoryFactorySupport proxy classloader,Low,Long-Term
QueryExecutorMethodInterceptor.invoke(MethodInvocation) should call invocation.proceed(),Low,Long-Term
Support for Jackson 2.x for JSON repository populators,Low,Short-Term
Ease configuration for Spring MVC integration,Medium,Long-Term
AbstractMappingContext has to init domain classes in afterPropertiesSet(),Medium,Long-Term
RepositoryInterfaceAwareBeanFactoryPostProcessor should implement PriorityOrdered,Low,Short-Term
PageImpl.getTotalPages() possibly returns incorrect result when PageImpl is instantiated with simple constructor,Low,Long-Term
CdiRepositoryBean should implement PassivationCapable,Medium,Short-Term
testing HipChat integration - ignore,Low,Short-Term
Incorrent Class name in code snipet,Low,Short-Term
Missing parenthesis in a code snipet of spring data,Low,Short-Term
RepositoryBeanDefinitionBuilder does not populate the source of created BeanDefinitions,Low,Short-Term
Misleading documentation of page parameter resolved by PageableArgumentResolver,Low,Long-Term
Property annotated with @CreatedDate gets updated on modification,Low,Long-Term
Spring Data Commons Maven artifactId seems outdated on springsource.org,Low,Short-Term
Improve exception message for failed instantiations in ReflectionEntityInstatiator,Medium,Short-Term
Change Order class so that case insensitive sorts can be performed by setting an ignore case flag,Low,Long-Term
ParameterizedTypeInformation is missing hashCode() method,Medium,Short-Term
AnnotationBasedPersistentProperty should cache annotation lookups,Medium,Short-Term
Javadoc of org.springframework.data.web.PageableDefaults links to invalid classes,Low,Long-Term
CDI integration with openEJB fails,Low,Long-Term
Autowired of a repository fails in Configuration class,Low,Long-Term
Separate SpEL expression evaluation from PersistentEntity parameter value lookup,Medium,Short-Term
GenericTypeExtractor does not work with parametrized classes,Low,Long-Term
Enforce ordering of bean creation when using custom repository implementations,Medium,Short-Term
DomainClassConverter should gracefully return null for null sources or empty strings,Medium,Short-Term
Mapping sub-system should exclude Groovy introduced properties from persistent properties,Medium,Short-Term
ResourceReaderRepositoryPopulatorBeanDefinitionParser should parse location attribute not locations,Medium,Long-Term
ConfigurableTypeInformationMapper caches too aggressively,Medium,Short-Term
Parsing of method names with non-ascii characters fails in some cases,Low,Short-Term
Reference docs build broken,Low,Short-Term
Typo in section 1.2,Low,Short-Term
Error with the Containing keyword in repository method name,Medium,Long-Term
"page.page=3&page.size=30 and  @PageableDefaults(pageNumber = 3, value = 30) don't return the same page.",Low,Long-Term
Java transient fields should not be considered transient for persistence,Medium,Short-Term
StackOverflowError when inserted object is a CGLIB proxy,Medium,Long-Term
Potential NullPointerException in ReflectionEntityInformation,Medium,Short-Term
@Query in extending interface is not picked up correctly,Low,Short-Term
OutOfMemoryError caught and converted to IllegalArgumentException,Low,Long-Term
Overwriting of delete(T entity) saveAndFlush(T entity); does not work anymore,Medium,Short-Term
OSGi issue when using a Repository that extends QueryDslPredicateExecutor (Spring Data + QueryDsl,Medium,Short-Term
Repository lookup in DomainClassConverter and DomainClassPropertyEditorRegistrar throws ClassCastException if not all repositories implement CrudRepository,Low,Short-Term
StackOverflowError from infinite recursion in PropertyPath.create:326,Medium,Long-Term
some osgi imports are marked required in manifest.mf,Low,Short-Term
Documented Configuration of Conversion Service with DomainClassConverter Does Not Work,Low,Long-Term
NullPointerException AbstractPersistentProperty inside isEntity,Medium,Long-Term
AbstractPersistentProperty is missing reasonable equals(…) / hashCode() methods,Medium,Long-Term
PreferredConstructor.Parameter does not have equals(...) and hashCode() methods,Medium,Long-Term
Wrong custom implementation automatically detected,Low,Short-Term
RepositoryFactorySupport throws ClassCastException for annotation based repositories,Medium,Short-Term
SimpleTypeHolder does not consider complex enum values as simple,Low,Short-Term
Invalid Entities are placed in the MappingContext - Cache,Low,Long-Term
TypeDiscoverer.getMapValueType causes ArrayIndexOutOfBoundsException in some cases,Medium,Long-Term
RepositoryInterfaceAwareBeanPostProcessor potentially suffers from NullPointerException,Low,Short-Term
Reference documentation contains invalid cross reference,Low,Long-Term
Performance issues with RepositoryInterfaceAwareBeanPostProcessor when using @Transactional,Medium,Short-Term
Use of parameterized type in constructor arguments is not supported,Medium,Short-Term
Declaring an intermediate base repository does not work correctly,Low,Long-Term
Property check for repository methods fails for properties starting with _,Medium,Short-Term
ParametersParameterAccessor iterator will never iterate...,Low,Short-Term
MappingContext does not map BigDecimal correctly,Medium,Short-Term
Custom implementation of CRUD methods are not considered,Medium,Short-Term
Rename @RepositoryProxy to @RepositoryDefinition,Medium,Short-Term
Closed projections not working with composite PK class,Low,Short-Term
CassandraAutoConfiguration is executed when it should be disabled,Low,Short-Term
Logging of CQL statements is broken,Low,Short-Term
Spring Data Cassandra Turkish Locale Error,Low,Short-Term
@Consistency annotation results in Kotlin compilation error,Medium,Long-Term
Spring Boot 2.3.1.Release and Cassandra Connectivity DriverTimeout Issue,Medium,Short-Term
spring.data.cassandra.connection.init-query-timeout not taken into account,Medium,Short-Term
Spring Data Cassandra application fails to start on JDK 14,Medium,Short-Term
"CQL query using portioned key (the only defined one), and  I got error and a hint to use ALLOW FILTERING directive",Medium,Short-Term
Consider return type of suspended methods returning Flow,Low,Short-Term
Adding element to set via update query fails,Low,Short-Term
insert method with a custom request does not return the specified type,Low,Short-Term
Cassandra Spring Data Apache CassandraOperations slice hasNext is not giving Proper result,Medium,Short-Term
BeforeSaveCallback not working,Medium,Long-Term
com.datastax.driver.core.exceptions.TransportException: [/172.18.0.3:9042] Cannot connect,Medium,Short-Term
Converter should not ignore @CassandraType for collection like type,Low,Short-Term
Regression from DATACASS-720 to connect to a session with case-sensitive keyspace,Medium,Long-Term
Integer Overflow using Update,Low,Long-Term
Paging through Repository query methods do not retain Sort,Low,Short-Term
selectOne(…) and event publication fails if entity is null,Low,Short-Term
Add HTTPS entries into spring.schemas,Medium,Short-Term
Cannot create a table with a custom name using CassandraAdminTemplate.createTable(),Low,Short-Term
PrimaryKeyClass properties not populated when initializing key in entity through constructor,Medium,Short-Term
Fix method reference in documentation,Low,Short-Term
Loading Enums using their ordinal fails,Low,Short-Term
Saving Map with TupleValue attempts TupleValue type resolution,Medium,Long-Term
QueryUtils.getTableName(…) fails using quoted identifiers,Medium,Long-Term
Documentation incorrectly states java.util.UUID maps to Cassandra timeuuid,Low,Short-Term
Skip properties that are not part of the result,Medium,Short-Term
@primaryKeyColumn fields not being detected while using findBy* methods in repository,Medium,Short-Term
Custom conversion not applies for Collection elements if only read converter is registered,Low,Short-Term
CassandraDataAutoConfiguration.cassandraTemplate(…) declares Operations interface instead of implementation class,Medium,Short-Term
QueryExtensionsKt#query needs to accept CriteriaDefinitions.,Low,Short-Term
AsyncCqlTemplate Cached Prepared Statements,Medium,Long-Term
@PrimaryKeyColumn does not identify a property as @Id property,Low,Long-Term
spring-data-cassandra 1.4.11.RELEASE compatibility with Spring 5.0.6.RELEASE,Low,Short-Term
Unable to apply query options to a string based CQL query,Low,Short-Term
CassandraTemplate.update(…) does not apply UpdateOptions.ifExists,Low,Short-Term
BasicCassandraPersistentProperty.findAnnotatedType(…) fails with non-parameterized Collection/Map properties,Low,Short-Term
Placeholders not replaced in bean definition during postprocessing,Low,Long-Term
How to use insert asynchronously into Cassandra with Spring Data?,Medium,Short-Term
@CassandraType is ignored in the presence of CustomConversions,Low,Long-Term
Reactive example from documentation is not working,Low,Short-Term
Throw IncorrectResultSizeDataAccessException for repository query methods returning a single element,Low,Short-Term
Enum query arguments not converted,Low,Short-Term
CreateTableCqlGenerator generates invalid statements when options are added.,Low,Short-Term
Limiting query results does not work,Low,Short-Term
Nested User defined type not supported,Medium,Short-Term
 KeyspaceAction ALTER not supported,Low,Short-Term
Duplicate property in UDT reference documentation example,Low,Short-Term
PrimaryKeyClass instantiated without value conversion,Low,Short-Term
"NoHostAvailable not caught at bean declaration, but only at initialization",Low,Short-Term
Spring Data Example Tests fail with JDK 9,Low,Long-Term
Stream<T> findAll() does not execute a streaming query,Low,Short-Term
CassandraTemplate bean name defaults to cqlTempate using XML configuration,Low,Long-Term
Cannot instantiate domain objects referencing a mapped UDT in the constructor,Medium,Long-Term
Missed failing test due to wrong UT class name.,Low,Long-Term
No functionality to change the consistency level for cassandra using spring data,Medium,Short-Term
org.springframework.dao.InvalidDataAccessApiUsageException: Unknown type [class ...enum class...] for property [...property...] in entity [...entity...]; only primitive types and Collections or Maps of primitive types are allowed,Low,Short-Term
Parameter 0 of constructor in org.springframework.data.cassandra.repository.support.CassandraRepositoryFactoryBean required a bean of type 'java.lang.Class' that could not be found.,Low,Short-Term
ClassCastException in MappingCassandraConverter for LocalDate,Medium,Short-Term
User types are dropped before tables using built-in schema creation,Low,Long-Term
CassandraPersistentPropertyComparator violates comparison method contract,Medium,Long-Term
Cannot clustered columns cannot be ordering in desc,Medium,Long-Term
Cannot use fully qualified table name in @Table annotation,Medium,Short-Term
Fix CqlTemplate and CassandraTemplate returning null for data access operations returning a Collection.,Medium,Short-Term
CassandraTemplate.appendIdCriteria throws NullPointerException when using MapId containing unknown property names,Low,Short-Term
CachedPreparedStatementCreator uses a static field for caching,Low,Long-Term
Allow multiple keyspaces in one Spring context,Low,Long-Term
"QueryForObjectListener will not be called, if result set is empty",Low,Long-Term
Entities are partially registered although they are found invalid,Medium,Long-Term
Fix CassandraTemplate and CqlTemplate methods violating their contract.,Medium,Long-Term
AuthProvider required when using with username/password,Low,Long-Term
Add missing throws to catch blocks in CqlTemplate,Low,Long-Term
Enum properties cannot be written,Low,Long-Term
CassandraRepositoryConfigurationExtension does not specify IdentifyingAnnotations,Medium,Short-Term
CachedPreparedStatementCreator class is not threadsafe,Medium,Long-Term
CDI support can fail due to Set.toString() used as Map key,Low,Long-Term
@PrimaryKeyColumn does not work when applied to methods,Low,Long-Term
Optional return type for Repositories returns Optional of resultset instead of Optional of Objectype,Medium,Long-Term
Shutdown Script issue with XML Configuration,Medium,Long-Term
The SchemaAction.RECREATE doesn't drop tables,Low,Long-Term
@Query annotation | String type parameters are mishandled | Implementation does not work for IN where clause,Medium,Long-Term
Documentation about query methods promises a lot that isn't there,Low,Long-Term
CassandraCqlClusterFactoryBean won't allow configuration of username/password unless authProvider also given.,Medium,Long-Term
Simple CassandraRepository implementation is not working,Medium,Long-Term
VerifierMappingException thrown when saving entity with Set of User-Defined Types,Medium,Long-Term
On startup CREATE TABLE from entities should only add 'if not exists'.,Medium,Long-Term
BasicCassandraPersistentProperty.isCompositePrimaryKey produces NPE when getField() returns null,Medium,Long-Term
Fix misspelled ConsistencyLevel enum constants,Low,Long-Term
<cql:template/> has wrong bean reference,Low,Long-Term
Reconsider usage of ingestions for general CQL test cases,Low,Short-Term
Add ability to update/store null into fields,Low,Long-Term
AlterTableSpecification add column produces syntax error,Low,Long-Term
Simple Person example using queryForObject not working,Medium,Short-Term
StackOverflowError in CassandraAdminTemplate#dropTable(Class<?>),Low,Long-Term
CassandraAdminTemplate#createTable does not honor ifNotExists argument,Low,Long-Term
Saving too many items fails,Low,Long-Term
CqlTemplate should not manually call its own afterPropertiesSet() method,Low,Short-Term
Reference documentation build broken,Medium,Short-Term
NPE on CassandraSessionFactoryBean when schemaAction not set,Low,Short-Term
CassandraQueryMethod.isSliceQuery() doesn't exist,Medium,Short-Term
Missing CassandraPersistentProperty.getActualType() method in code.,Low,Short-Term
@Table/@Persistent types must have only one @PrimaryKey attribute. Found 0. Using @PrimaryKeyColumn instead.,Medium,Short-Term
/batch/executions.json throws a NullPointerException,Medium,Short-Term
Keeping elements order in /jobs/executions.json,Medium,Long-Term
Set toString() locale to ENGLISH in unit test,Low,Long-Term
Fix javadoc building with JDK 8,Medium,Long-Term
jobs/executions.json produces invalid json (extra } at end of output),Low,Long-Term
Step ordering should be according to STEP_EXECUTION_ID on the Job executions details page,Low,Long-Term
Freemarker template exception in sample application,Low,Long-Term
No StepExecutions are displayed for partitioned steps,Low,Long-Term
servlet.PageNotFound:1108 - No mapping found for HTTP request with URI [/spring-batch-admin-sample/,Medium,Short-Term
Spring Scheduling does not work with child context,Medium,Long-Term
Wrong StepExecutions displayed for partitioned jobs,Low,Long-Term
Can't view second page of job execution due to windowing paging query sql syntax error,Medium,Short-Term
Paging through job execution on Oracle fails with exception,Medium,Long-Term
Home link is broken,Low,Long-Term
BadSqlGrammarException accessing Executions page with Apache Derby 10.8.2.2 datasource,Medium,Long-Term
Add Spring Batch Integration Sample,Low,Long-Term
The start time for Steps are displayed with hard coded GMT time zone,Low,Long-Term
SimpleJobService.getStepExecutions() throws NPE with SpringBatch 2.1.9,Medium,Long-Term
Missing import-package ,Low,Long-Term
"css, images and js are not downloadable in jboss-5.1.0.GA",Low,Long-Term
MessageChannelPartitionHandler in version 1.2.1 is not listening on replyChannel,Medium,Long-Term
Cross-site scripting is possible in the Job-parameters field,Medium,Long-Term
Some configuration files (e.g. file-context.xml) are using version dependent declaration of XSD files,Medium,Short-Term
Adding Spring TaskScheduler causes proxy for job service which fails for missing method removeInactiveExecutions,Medium,Long-Term
Jobs.json invalid when executions over 1000,Low,Long-Term
JSON response can not be parsed because of syntax exception,Low,Long-Term
Spring Batch Admin | Table prefix issue,Low,Long-Term
Incorrect type in BatchMBeanExporter.getBeanKeyForStepExecution?,Low,Short-Term
SimpleJobMetrics.getLatestStepExitDescription() doesn't work if the last step is very quick.,Medium,Long-Term
PropertyPlaceholder in job context (child context) fails because of parent placeholders,Low,Long-Term
Prefix resources in template layout ,Low,Short-Term
Missing import-package,Low,Short-Term
BatchMBeanExporter creation fails due to malformed object name,Low,Long-Term
NPE in ContentTypeInterceptor: On WebSphere the method request.getPathInfo() returns null,Low,Short-Term
PagingQueryProvider exception under Derby,Low,Short-Term
"period ('.'), in jobName seems to confuse SBA UI when displaying Job Instances.",Low,Long-Term
StepExecution JMX and UI stats should be scoped by owning Job.,Low,Long-Term
JdbcSearchableJobExecutionDao.getJobExecutions breaks with Oracle when retrieving > 1st page of results,Low,Short-Term
XSS vulnerability in file download,Medium,Short-Term
Protect admin console from CannotResolveClassException when deserializing from meta data tables,Medium,Short-Term
Unable to override FileUploadRequestToFileAdapter directory,Low,Long-Term
Job parameters sometimes come back with comment and timestamp line,Low,Long-Term
JobParameters text input box too small,Low,Long-Term
Colons are escaped in job parameters in Jobs page,Low,Long-Term
Cannot create PoolableConnectionFactory (Access denied for user 'test'@'localhost' (using password: YES)),Low,Short-Term
Error reporting in UI broken when launching a job,Low,Long-Term
Restart button on Job execution screen generates incorrect url,Medium,Short-Term
@Override in StepLocatorStepFactoryBean prevents compile with Java 5,Low,Short-Term
Job configuration upload overwrites all existing jobs,Medium,Short-Term
spring-batch-admin-resources-1.0.0.M2.jar - webapp-config.xml imports spring/**/*,Low,Short-Term
Using Spring Batch 2.1.0.RELEASE causes stacktrace,Low,Short-Term
Dates are displayed in GMT instead of using the locale of the jvm,Low,Long-Term
Multiple registration of some URLS,Low,Short-Term
File upload triggers job twice in sample,Medium,Short-Term
org.springframework.dao.DuplicateKeyException Exception when clicking fast multiple times on launch job1 in sample,Low,Short-Term
Default value of comment prefix in FlatFileItemReaderBuilder is inconsistent with FlatFileItemReader,Low,Short-Term
Documentation: XSD specifies incorrect type for RetryPolicy,Low,Long-Term
Empty String as delimiter is ignored,Low,Long-Term
Can't remove file(which was read in reader) in afterStep listener on Windows,Medium,Long-Term
Overridden nullable methods are not annotated as @Nullable JSR-305,Low,Long-Term
FlatFileItemReaderBuilder does not overrule comment prefixes in returned FlatFileItemReader,Low,Long-Term
" JobExplorer.findJobInstancesByJobName(java.lang.String jobName, int start, int count) does not return job instances in descending order of job instance id",Low,Long-Term
Line tokenizer: Invalid quote char,Low,Long-Term
Incorrect error message when an exception is thrown in JobExecutionListener#afterJob,Low,Long-Term
JdbcExecutionContextDao#afterPropertiesSet misses null ExecutionContextSerializer,Low,Long-Term
Test,Low,Short-Term
The Javadoc on DelimitedLineTokenizer#substringWithTrimmedWhitespaceAndQuotesIfQuotesPresent is wrong,Low,Long-Term
The EXIT_MESSAGE columns of BATCH_JOB_EXECUTION and BATCH_STEP_EXECUTION are defined with bytes and not characters on Oracle,Low,Long-Term
Property default value differs from document,Low,Short-Term
Potential security vulnerabilities based on OWASP Dependency Check,Medium,Short-Term
FlatFileItemReaderBuilder class - TAB character is not set as a delimiter,Low,Long-Term
Order of invoking FlatFileHeaderCallBack and ItemWriterListener.,Low,Short-Term
"java.sql.SQLException: ORA-12899: value too large for column BATCH_STEP_EXECUTION.EXIT_MESSAGE (actual: 2502, maximum: 2500)",Medium,Long-Term
Incorrect remote partitioning sample in the documentation,Low,Long-Term
FlatFileItemWriterBuilder requires a Resource,Low,Long-Term
"When the jobstep defined in my jobstep refers to a job defined in another configuration file, there will be an error of ""NoSuchBeanDefinitionException""",Medium,Short-Term
"Existing failed job is restarted, even if new job contains different job parameters",Medium,Long-Term
Is there a way to set the writer to write more than one record while processing? I need to create records and the number to be created is determined dynamically.  Using just the JdbcBatchItemWriter I get the only the last record.,Medium,Short-Term
In-memory repository with Spring Boot,Medium,Short-Term
JobParameters deserialization fails,Low,Long-Term
No runners created when there is no data source bean,Low,Short-Term
Rejected Job can not be restarted,Medium,Long-Term
Stopping a job from a different JVM throws a NoSuchJobException,Low,Long-Term
Filter count become incorrect when a skip happen in the writer,Medium,Long-Term
Raised in error - please delete,Low,Short-Term
Revert the behavior of DelimitedLineTokenizer to pre-4,Low,Short-Term
Inconsistent documentation about aborting a job,Low,Short-Term
The table 'BATCH_JOB_EXECUTION_PARAMS' is full,Low,Short-Term
 retry can't use in reader?,Low,Long-Term
Chunk oriented step builders must validate that an ItemWriter is provided,Medium,Long-Term
RepositoryItemReader reads failed items over and over again,Medium,Long-Term
Cannot use in-memory JobRepository if there are multiple DataSource beans in context,Medium,Short-Term
DelimitedLineTokenizer always interprets quotes,Low,Long-Term
Unable to detect database type with SQLServer JDBC driver,Low,Short-Term
Upgrade Jettison to 1.3.x,Medium,Long-Term
A WARN log has been outputted for @Bean method that support custom scope,Low,Long-Term
Retry not working with FaultTolerantStepBuilder,Low,Long-Term
Issue with storing the Job Context in database if serialized context has Unicode characters,Medium,Long-Term
Spring Retry README.md misleading about SimpleRetryPolicy,Low,Long-Term
Multiple Job Intance for same job parameters,Low,Long-Term
Commit interval,Low,Long-Term
String encoding,Medium,Long-Term
Not incrementer for DB2AS400,Medium,Long-Term
Job key hash returns different result for restart when using date parameter,Medium,Long-Term
Two minor typo's in the documentation,Low,Long-Term
Hibernate 5.2 incompatibility,Medium,Long-Term
Typo in log statement from AbstractListenerFactoryBean:isListener,Low,Long-Term
org.springframework.beans.factory.NoUniqueBeanDefinitionException: No qualifying bean of type [org.springframework.jms.listener.DefaultMessageListenerContainer] is defined: expected single matching bean but found 2:,Medium,Long-Term
ChunkMessageChannelItemWriter Reply Channel Issues,Medium,Long-Term
AutomaticJobRegistrar's event listening is unnecessarily broad and can lead to problems with early instantiation,Medium,Long-Term
MultiResourceItemWriter with StaxEventItemWriter restarts at position 0,Low,Long-Term
"reader doesn't provide handle if line start with ""#"" in any file",Medium,Short-Term
